  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3075   0.00804   0.00252  -0.0528   0.7604   0.0015
  -4.500  -0.2514   0.00788   0.00229  -0.0527   0.7331   0.0015
  -3.500  -0.1403   0.00736   0.00175  -0.0523   0.6781   0.0332
  -3.000  -0.0855   0.00700   0.00150  -0.0521   0.6500   0.0728
  -2.000   0.0245   0.00642   0.00119  -0.0517   0.5938   0.1756
  -1.500   0.0799   0.00618   0.00111  -0.0516   0.5675   0.2381
  -1.000   0.1354   0.00598   0.00106  -0.0515   0.5415   0.3066
  -0.500   0.1920   0.00594   0.00105  -0.0516   0.5166   0.3455
   0.000   0.2485   0.00590   0.00106  -0.0516   0.4931   0.3884
   0.500   0.3048   0.00582   0.00108  -0.0516   0.4717   0.4481
   1.000   0.3610   0.00575   0.00113  -0.0517   0.4516   0.5122
   1.500   0.4173   0.00571   0.00119  -0.0517   0.4322   0.5716
   2.000   0.4735   0.00572   0.00128  -0.0517   0.4111   0.6259
   2.500   0.5293   0.00576   0.00139  -0.0516   0.3879   0.6812
   3.000   0.5844   0.00586   0.00153  -0.0513   0.3591   0.7355
   3.500   0.6349   0.00630   0.00180  -0.0504   0.2899   0.7914
   4.000   0.6862   0.00665   0.00209  -0.0495   0.2430   0.8459
   4.500   0.7345   0.00720   0.00248  -0.0480   0.1828   0.8963
   5.000   0.7793   0.00798   0.00300  -0.0459   0.1153   0.9384
   5.500   0.8209   0.00902   0.00370  -0.0432   0.0453   0.9708
   6.000   0.8702   0.01005   0.00452  -0.0422   0.0006   0.9906
   6.500   0.9393   0.01053   0.00495  -0.0454   0.0005   0.9961
   7.000   1.0043   0.01102   0.00540  -0.0477   0.0004   0.9995
   7.500   1.0486   0.01145   0.00581  -0.0455   0.0004   0.9999
   8.000   1.0914   0.01191   0.00625  -0.0431   0.0004   0.9999
   8.500   1.1367   0.01242   0.00675  -0.0413   0.0004   0.9999
   9.000   1.1820   0.01298   0.00730  -0.0396   0.0004   0.9999
   9.500   1.2263   0.01359   0.00791  -0.0378   0.0004   0.9999
  10.000   1.2681   0.01425   0.00858  -0.0356   0.0004   0.9999
