  
       XFOIL         Version 6.96
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1675   0.00656   0.00192  -0.1562   0.7359   0.0255
  -4.000   0.2812   0.00638   0.00156  -0.1565   0.6928   0.0284
  -3.000   0.3943   0.00624   0.00123  -0.1567   0.6446   0.0329
  -2.000   0.5069   0.00623   0.00103  -0.1568   0.5938   0.0410
  -1.000   0.6192   0.00624   0.00099  -0.1570   0.5467   0.0800
   0.000   0.7316   0.00632   0.00106  -0.1572   0.5090   0.1270
   1.000   0.8437   0.00643   0.00122  -0.1575   0.4801   0.1972
   2.000   0.9555   0.00650   0.00147  -0.1578   0.4577   0.3201
   3.000   1.0626   0.00568   0.00192  -0.1576   0.4374   0.9998
   4.000   1.1731   0.00605   0.00222  -0.1577   0.4186   0.9998
   5.000   1.2765   0.00688   0.00274  -0.1566   0.3526   0.9998
   6.000   1.3710   0.00829   0.00367  -0.1540   0.2591   0.9998
   7.000   1.4447   0.01105   0.00555  -0.1479   0.0989   0.9998
   8.000   1.5195   0.01327   0.00733  -0.1420   0.0279   0.9998
   9.000   1.5928   0.01479   0.00884  -0.1357   0.0194   0.9998
  10.000   1.6629   0.01639   0.01050  -0.1294   0.0176   0.9998
  11.000   1.7217   0.01872   0.01293  -0.1220   0.0151   0.9998
  12.000   1.7816   0.02118   0.01548  -0.1157   0.0140   0.9998
  13.000   1.8267   0.02490   0.01931  -0.1085   0.0117   0.9998
  14.000   1.8684   0.02926   0.02378  -0.1022   0.0099   0.9998
  15.000   1.8921   0.03567   0.03034  -0.0958   0.0074   0.9998
